"December year","General marriage rate"
1961,38.19
1962,37.65
1963,37.11
1964,37.65
1965,38.59
1966,40.14
1967,40.68
1968,41.49
1969,42.83
1970,43.95
1971,45.49
1972,44
1973,41.82
1974,39.24
1975,36.89
1976,35.46
1977,31.96
1978,30.63
1979,29.55
1980,29.35
1981,29.39
1982,30.71
1983,28.5
1984,28.15
1985,26.58
1986,25.29
1987,24.96
1988,23.36
1989,22.18
1990,22.19
1991,19.65
1992,18.34
1993,17.95
1994,17.4
1995,16.88
1996,16.47
1997,15.71
1998,15.58
1999,16.08
2000,15.49
2001,14.71
2002,14.83
2003,14.89
2004,14.25
2005,13.76
2006,14.17
2007,13.98
2008,14.11
2009,13.7
2010,13.04
2011,12.46
2012,12.51
2013,11.45
2014,11.61
2015,11.21
2016,11.06
2017,11.05
2018,10.98
2019,9.83